inspectionid,dbaname,akaname,license,facilitytype,risk,address,city,state,zip,inspectiondate,inspectiontype,results,latitude,longitude,location
44247,eat a pita,eat a pita,1222441.0,restaurant,risk 1 (high),3155 n halsted st ,chicago,il,60657.0,01/05/2010,complaint,pass,41.93944116,-87.64910277,"(41.93944115701468, -87.64910277148812)"
44248,la gondola,la gondola,1336561.0,restaurant,risk 1 (high),2914 n ashland ave ,chicago,il,60657.0,01/21/2010,canvass,pass,41.93467889,-87.66862497,"(41.93467889167928, -87.66862496860755)"
44249,azha restaurant inc.,azha restaurant,1334073.0,restaurant,risk 1 (high),960 w belmont ave ,chicago,il,60657.0,01/21/2010,canvass re-inspection,pass,41.94002688,-87.65381103,"(41.94002687624888, -87.65381102535457)"
44250,saint joseph hospital,saint joseph hospital,1144381.0,hospital,risk 1 (high),2900 n lake shore dr ,chicago,il,60657.0,02/09/2010,canvass,pass,41.93440299,-87.63680584,"(41.93440298707838, -87.63680583708285)"
44251,saint joseph hospital,saint joseph hospital,1144380.0,hospital,risk 1 (high),2900 n lake shore dr ,chicago,il,60657.0,02/09/2010,canvass,pass,41.93440299,-87.63680584,"(41.93440298707838, -87.63680583708285)"
44252,chartwell's dining,chartwell's dining,1193131.0,restaurant,risk 1 (high),2250 n sheffield ave ,chicago,il,60614.0,03/18/2010,suspected food poisoning,pass,41.92323687,-87.65368543,"(41.92323686568482, -87.65368542924351)"
44253,rocks lakeview,rocks lakeview,1875067.0,restaurant,risk 1 (high),3463-3465 n broadway ,chicago,il,60657.0,04/01/2010,canvass,pass w/ conditions,41.94497417,-87.64565976,"(41.94497417145062, -87.64565975587642)"
44254,subway,subway,2026336.0,restaurant,risk 1 (high),5554 n clark st ,chicago,il,60640.0,04/01/2010,license re-inspection,pass,41.983312700000006,-87.66886836,"(41.983312701165225, -87.66886836097818)"
44255,"tony's burrito mex, inc","tony's burrito mex, inc",1576687.0,restaurant,risk 1 (high),1957 w belmont ave ,chicago,il,60657.0,05/05/2010,complaint,fail,41.93946536,-87.67815712,"(41.939465355476145, -87.67815712261923)"
44256,eat a pita,eat a pita,1222441.0,restaurant,risk 1 (high),3155 n halsted st ,chicago,il,60657.0,05/05/2010,complaint,pass w/ conditions,41.93944116,-87.64910277,"(41.93944115701468, -87.64910277148812)"
44257,amundsen high school,amundsen hiigh school,46031.0,school,risk 1 (high),5110 n damen ave ,chicago,il,60625.0,05/11/2010,canvass,pass w/ conditions,41.97507922,-87.67952139,"(41.97507921514951, -87.67952139085273)"
44258,jimmy johns sandwich shop,jimmy johns sandwich shop,1383444.0,restaurant,risk 1 (high),2336 w lawrence ave ,chicago,il,60625.0,05/11/2010,canvass,pass,41.96874385,-87.68793653,"(41.968743846927374, -87.68793653439427)"
44259,northside college prep.,northside college prep,46061.0,school,risk 1 (high),5501 n kedzie ave ,chicago,il,60625.0,05/12/2010,canvass,pass,41.98135196,-87.70867192,"(41.9813519623745, -87.70867191793931)"
