tid,attribute,correct_val
1,inspectionid,44247
1,dbaname,eat a pita
1,akaname,eat a pita
1,license,1222441
1,facilitytype,restaurant
1,risk,risk 1 (high)
1,address,3155 n halsted st 
1,city,chicago
1,state,il
1,zip,60657
1,inspectiondate,01/05/2010
1,inspectiontype,complaint
1,results,pass
1,latitude,41.93944116
1,longitude,-87.64910277
2,inspectionid,44248
2,dbaname,la gondola
2,akaname,la gondola
2,license,1336561
2,facilitytype,restaurant
2,risk,risk 1 (high)
2,address,2914 n ashland ave 
2,city,chicago
2,state,il
2,zip,60657
2,inspectiondate,01/21/2010
2,inspectiontype,canvass
2,results,pass
2,latitude,41.93467889
2,longitude,-87.66862497
3,inspectionid,44249
3,dbaname,azha restaurant inc.
3,akaname,azha restaurant inc.
3,license,1334073
3,facilitytype,restaurant
3,risk,risk 1 (high)
3,address,960 w belmont ave 
3,city,chicago
3,state,il
3,zip,60657
3,inspectiondate,01/21/2010
3,inspectiontype,canvass re-inspection
3,results,pass
3,latitude,41.94002688
3,longitude,-87.65381103
4,inspectionid,44250
4,dbaname,saint joseph hospital
4,akaname,saint joseph hospital
4,license,1144381
4,facilitytype,hospital
4,risk,risk 1 (high)
4,address,2900 n lake shore dr 
4,city,chicago
4,state,il
4,zip,60657
4,inspectiondate,02/09/2010
4,inspectiontype,canvass
4,results,pass
4,latitude,41.93440299
4,longitude,-87.63680584
5,inspectionid,44251
5,dbaname,saint joseph hospital
5,akaname,saint joseph hospital
5,license,1144380
5,facilitytype,hospital
5,risk,risk 1 (high)
5,address,2900 n lake shore dr 
5,city,chicago
5,state,il
5,zip,60657
5,inspectiondate,02/09/2010
5,inspectiontype,canvass
5,results,pass
5,latitude,41.93440299
5,longitude,-87.63680584
6,inspectionid,44252
6,dbaname,chartwell's dining
6,akaname,chartwell's dining
6,license,1193131
6,facilitytype,restaurant
6,risk,risk 1 (high)
6,address,2250 n sheffield ave 
6,city,chicago
6,state,il
6,zip,60614
6,inspectiondate,03/18/2010
6,inspectiontype,suspected food poisoning
6,results,pass
6,latitude,41.92323687
6,longitude,-87.65368543
7,inspectionid,44253
7,dbaname,rocks lakeview
7,akaname,rocks lakeview
7,license,1875067
7,facilitytype,restaurant
7,risk,risk 1 (high)
7,address,3463-3465 n broadway 
7,city,chicago
7,state,il
7,zip,60657
7,inspectiondate,04/01/2010
7,inspectiontype,canvass
7,results,pass w/ conditions
7,latitude,41.94497417
7,longitude,-87.64565976
8,inspectionid,44254
8,dbaname,subway
8,akaname,subway
8,license,2026336
8,facilitytype,restaurant
8,risk,risk 1 (high)
8,address,5554 n clark st 
8,city,chicago
8,state,il
8,zip,60640
8,inspectiondate,04/01/2010
8,inspectiontype,license re-inspection
8,results,pass
8,latitude,41.9833127
8,longitude,-87.66886836
9,inspectionid,44255
9,dbaname,tony's burrito mex
9,akaname,tony's burrito mex
9,license,1576687
9,facilitytype,restaurant
9,risk,risk 1 (high)
9,address,1957 w belmont ave 
9,city,chicago
9,state,il
9,zip,60657
9,inspectiondate,05/05/2010
9,inspectiontype,complaint
9,results,fail
9,latitude,41.93946536
9,longitude,-87.67815712
10,inspectionid,44256
10,dbaname,eat a pita
10,akaname,eat a pita
10,license,1222441
10,facilitytype,restaurant
10,risk,risk 1 (high)
10,address,3155 n halsted st 
10,city,chicago
10,state,il
10,zip,60657
10,inspectiondate,05/05/2010
10,inspectiontype,complaint
10,results,pass w/ conditions
10,latitude,41.93944116
10,longitude,-87.64910277
11,inspectionid,44257
11,dbaname,amundsen high school
11,akaname,amundsen high school
11,license,46031
11,facilitytype,school
11,risk,risk 1 (high)
11,address,5110 n damen ave 
11,city,chicago
11,state,il
11,zip,60625
11,inspectiondate,05/11/2010
11,inspectiontype,canvass
11,results,pass w/ conditions
11,latitude,41.97507922
11,longitude,-87.67952139
12,inspectionid,44258
12,dbaname,jimmy johns sandwich shop
12,akaname,jimmy johns sandwich shop
12,license,1383444
12,facilitytype,restaurant
12,risk,risk 1 (high)
12,address,2336 w lawrence ave 
12,city,chicago
12,state,il
12,zip,60625
12,inspectiondate,05/11/2010
12,inspectiontype,canvass
12,results,pass
12,latitude,41.96874385
12,longitude,-87.68793653
13,inspectionid,44259
13,dbaname,northside college prep.
13,akaname,northside college prep.
13,license,46061
13,facilitytype,school
13,risk,risk 1 (high)
13,address,5501 n kedzie ave 
13,city,chicago
13,state,il
13,zip,60625
13,inspectiondate,05/12/2010
13,inspectiontype,canvass
